Date,Close/Last,Volume,Open,High,Low
01/03/2025,87.29,21962200,87.72,87.88,87.18
01/02/2025,87.57,27841300,87.80,88.115,87.21
12/31/2024,87.33,31917310,88.13,88.28,87.26
12/30/2024,87.80,48519630,87.83,88.035,87.67
12/27/2024,87.10,27262320,87.48,87.775,87.06
12/26/2024,87.82,19996220,87.21,87.96,87.20
12/24/2024,87.87,22377630,87.04,87.89,86.98
12/23/2024,87.50,32764560,88.16,88.23,87.44
12/20/2024,88.31,45542410,88.53,88.91,88.29
12/19/2024,87.81,99083310,88.07,88.385,87.505
12/18/2024,89.16,61328420,89.97,90.37,89.14
12/17/2024,90.64,23839890,90.52,90.985,90.455
12/16/2024,90.42,23482270,90.55,90.6152,90.05
12/13/2024,90.15,39485960,90.80,90.85,90.08
12/12/2024,91.08,45368390,91.64,91.746,91.00
12/11/2024,92.20,38748400,93.07,93.29,92.105
12/10/2024,93.08,28706470,93.02,93.30,92.905
12/09/2024,93.52,30509580,93.99,94.04,93.465
12/06/2024,94.39,31761530,94.72,94.85,94.02
12/05/2024,94.25,23695820,93.72,94.39,93.655
12/04/2024,94.06,35851070,92.61,94.19,92.54
12/03/2024,93.06,32768890,93.93,94.03,92.99
12/02/2024,93.87,39406030,93.27,94.1475,93.00
11/29/2024,93.97,31905740,93.78,93.985,93.44
11/27/2024,93.01,39442170,93.04,93.38,92.67
11/26/2024,92.37,31122250,92.16,92.44,91.81
11/25/2024,92.73,56858040,92.20,92.78,91.985
11/22/2024,90.39,21547550,90.51,90.70,90.15
11/21/2024,90.34,28365740,90.45,90.85,90.00
11/20/2024,90.41,27755430,90.15,90.83,90.11
11/19/2024,90.70,29585100,90.82,91.07,90.62
11/18/2024,90.24,36058670,89.66,90.59,89.424
11/15/2024,90.08,73722400,89.915,90.65,89.51
11/14/2024,90.32,53328350,90.56,91.025,90.27
11/13/2024,89.80,49009130,91.515,91.54,89.72
11/12/2024,90.66,57908370,91.37,91.85,90.51
11/11/2024,92.04,22369200,92.25,92.295,91.62
11/08/2024,92.49,56756180,92.00,92.5955,91.84
11/07/2024,91.33,56221410,90.75,91.62,90.65
11/06/2024,90.20,98895690,89.64,90.72,89.5545
11/05/2024,92.74,46986040,92.03,92.90,91.60
11/04/2024,92.25,49747590,92.28,92.57,91.63
11/01/2024,90.84,80401980,92.26,92.515,90.80
10/31/2024,92.45,52173750,92.20,92.94,91.87
10/30/2024,92.30,41951070,92.84,93.285,92.16
10/29/2024,92.03,46545200,91.17,92.06,90.9837
10/28/2024,91.89,33156460,92.27,92.29,91.415
10/25/2024,92.14,28667060,92.99,93.0375,92.02
10/24/2024,92.66,32507400,92.23,93.00,91.96
10/23/2024,92.07,33354250,91.84,92.37,91.6601
10/22/2024,92.32,32096890,92.65,92.76,92.091
10/21/2024,92.23,49504700,93.02,93.09,92.23
10/18/2024,93.87,25258630,94.05,94.28,93.86
10/17/2024,93.80,43427210,94.29,94.44,93.6701
10/16/2024,95.31,32281490,95.39,95.62,95.14
10/15/2024,94.91,46429050,94.46,95.00,94.3736
10/14/2024,93.765,28795340,93.04,93.78,92.98
10/11/2024,93.70,27406420,93.48,94.0656,93.422
10/10/2024,94.08,53667360,93.88,94.09,93.41
10/09/2024,94.45,35807680,94.67,94.905,94.23
10/08/2024,94.99,33709590,94.39,95.03,94.335
10/07/2024,94.83,42606630,94.98,95.2672,94.76
10/04/2024,95.55,56970280,95.44,95.96,95.40
10/03/2024,96.74,39677770,97.34,97.51,96.74
10/02/2024,97.66,35810760,97.36,97.73,97.06
10/01/2024,98.49,45254240,98.80,99.33,98.385
09/30/2024,98.10,34208260,98.64,98.71,97.8839
09/27/2024,98.57,28317630,98.54,98.755,98.21
09/26/2024,98.06,33332320,98.07,98.245,97.42
09/25/2024,97.83,36738240,98.26,98.32,97.79
09/24/2024,98.65,31005350,98.00,98.89,97.85
09/23/2024,98.67,35703930,98.50,99.09,98.02
09/20/2024,98.88,37067570,98.99,99.245,98.72
09/19/2024,99.26,39979820,98.92,99.31,98.77
