Date,Close/Last,Volume,Open,High,Low
01/10/2025,507.19,40532500,511.48,511.58,503.92
01/08/2025,515.27,30777780,515.08,516.9199,510.57
01/07/2025,515.18,36690270,525.59,525.99,513.28
01/06/2025,524.54,36109730,524.02,527.92,522.03
01/03/2025,518.58,29059520,513.35,519.6454,512.53
01/02/2025,510.23,36389780,514.30,516.64,505.71
12/31/2024,511.23,29117030,516.90,517.66,510.26
12/30/2024,515.61,34584030,515.51,519.36,511.83
12/27/2024,522.56,33839560,526.01,526.45,517.86
12/26/2024,529.60,19141490,528.32,531.24,526.31
12/24/2024,529.96,17558220,524.83,530.05,524.19
12/23/2024,522.87,29672800,519.55,523.25,516.13
12/20/2024,518.66,60529960,510.44,524.82,509.29
12/19/2024,514.17,46441750,521.19,521.7599,513.83
12/18/2024,516.47,54703160,535.15,536.8799,515.01
12/17/2024,535.80,28579070,536.36,537.48,534.13
12/16/2024,538.17,31979860,533.08,539.15,533.00
12/13/2024,530.53,28780410,530.46,533.1661,527.3001
12/12/2024,526.50,23577500,527.68,528.96,526.02
12/11/2024,529.92,32168580,525.00,530.61,524.59
12/10/2024,520.60,24350040,523.62,525.38,519.16
12/09/2024,522.38,20674410,525.55,526.35,521.22
12/06/2024,526.48,23762610,522.48,526.72,522.35
12/05/2024,521.81,18169630,523.31,524.0399,521.42
12/04/2024,523.26,26086220,520.32,523.52,519.60
12/03/2024,516.87,18597900,513.95,517.15,513.37
12/02/2024,515.29,25147170,511.01,516.26,510.62
11/29/2024,509.74,15333970,505.93,510.34,505.31
11/27/2024,505.30,24957440,508.17,508.24,501.93
11/26/2024,509.31,26557060,508.08,510.14,507.23
11/25/2024,506.59,26375170,509.90,511.4525,504.2625
11/22/2024,505.79,23826640,504.42,506.53,502.78
11/21/2024,504.98,34526740,506.24,506.96,497.56
11/20/2024,503.17,29565490,503.16,503.48,496.555
11/19/2024,503.46,24523020,497.42,503.9536,497.08
11/18/2024,500.02,27192660,498.13,502.14,496.73
11/15/2024,496.57,51461050,502.94,503.33,494.49
11/14/2024,508.69,28679520,511.91,512.79,507.77
11/13/2024,512.25,24567420,512.40,514.98,509.95
11/12/2024,512.91,25835290,513.77,514.66,509.83
11/11/2024,513.84,24167480,515.37,515.58,510.92
11/08/2024,514.14,22924480,513.035,514.9175,512.41
11/07/2024,513.54,32853120,508.40,514.33,508.34
11/06/2024,505.58,43082200,500.56,506.41,499.60
11/05/2024,492.21,24353620,487.61,492.88,487.52
11/04/2024,486.01,23291580,486.82,489.38,484.2545
11/01/2024,487.43,33655760,485.50,490.7507,485.20
10/31/2024,483.85,41245250,492.38,492.43,483.75
10/30/2024,496.38,29755960,499.39,500.35,495.89
10/29/2024,500.16,28014060,495.72,501.35,493.85
10/28/2024,495.40,20477780,498.46,498.52,495.10
10/25/2024,495.32,38762140,495.14,500.28,494.43
10/24/2024,492.32,22024930,492.11,493.00,489.44
10/23/2024,488.36,39346570,493.59,494.25,485.05
10/22/2024,495.96,26685840,492.73,497.445,491.97
10/21/2024,495.42,30336550,493.25,496.23,491.31
10/18/2024,494.47,25335030,494.06,495.57,493.30
10/17/2024,491.25,27210660,496.44,496.49,491.1901
10/16/2024,490.91,22996780,491.18,491.69,487.57
10/15/2024,490.85,34784510,497.83,498.50,488.68
10/14/2024,497.50,26060150,495.77,498.83,495.26
10/11/2024,493.36,20644500,490.74,494.39,490.17
10/10/2024,492.59,25750450,490.85,494.47,489.53
10/09/2024,493.15,24994950,489.00,493.73,487.95
10/08/2024,489.30,28272020,484.66,489.99,483.845
10/07/2024,482.10,24975120,485.39,486.57,480.87
10/04/2024,487.32,30744910,487.45,487.88,482.385
10/03/2024,481.59,25337220,479.74,484.545,478.99
10/02/2024,481.95,23744050,480.36,483.88,477.72
10/01/2024,481.27,42735420,487.70,488.00,477.40
09/30/2024,488.07,30330610,485.78,488.41,482.92
09/27/2024,486.75,22851120,490.50,490.64,485.56
09/26/2024,489.47,32020210,493.37,493.70,485.80
09/25/2024,485.82,26549870,484.74,487.79,484.56
09/24/2024,485.37,25952640,484.46,486.33,480.17
09/23/2024,483.04,24842970,482.95,484.14,481.60
09/20/2024,482.44,34577660,482.49,483.69,478.30
09/19/2024,483.36,52782520,482.61,486.23,480.49
09/18/2024,471.44,39909220,474.70,478.83,470.83
09/17/2024,473.49,30084440,476.29,477.60,470.97
09/16/2024,473.24,22585600,473.19,473.8599,469.89
09/13/2024,475.34,29111850,472.48,476.53,472.25
09/12/2024,473.22,40175460,468.65,474.04,466.8491
09/11/2024,468.62,57842990,459.91,469.37,451.28
09/10/2024,458.66,29680320,456.24,459.17,452.23
09/09/2024,454.46,32981170,453.06,455.46,449.8234
09/06/2024,448.69,50624390,460.33,461.22,448.19
09/05/2024,461.04,34452390,458.97,465.36,457.939
09/04/2024,460.61,32505100,458.67,464.45,457.73
09/03/2024,461.81,44985220,473.20,473.33,459.4101
08/30/2024,476.27,33466470,475.04,476.90,470.51
08/29/2024,470.66,41081470,473.28,477.93,469.372
08/28/2024,471.35,37372440,476.29,477.02,467.89
08/27/2024,476.76,27510000,473.69,477.84,471.71
08/26/2024,475.34,27452640,479.45,480.38,473.24
08/23/2024,480.00,36061510,479.24,482.74,475.28
08/22/2024,474.85,37739580,484.84,485.54,473.81
08/21/2024,482.50,25658790,481.05,484.37,479.32
08/20/2024,480.26,29209340,480.35,482.94,478.55
08/19/2024,481.27,23737670,475.17,481.31,473.37
08/16/2024,475.03,38383620,472.62,476.41,471.65
08/15/2024,474.42,38280570,468.76,474.82,468.38
08/14/2024,462.73,34733750,463.51,465.1093,458.40
08/13/2024,462.58,40084460,455.82,462.85,455.68
08/12/2024,451.38,27795010,451.39,454.37,448.5546
08/09/2024,450.41,33573980,446.74,452.06,445.61
08/08/2024,448.07,47890070,441.06,448.99,437.15
08/07/2024,434.77,54929160,446.49,449.00,434.37
08/06/2024,439.53,63164430,437.23,447.07,434.56
08/05/2024,435.37,87483450,424.71,442.29,423.45
08/02/2024,448.75,66323240,450.89,453.57,444.47
08/01/2024,459.66,56653900,471.76,475.55,455.98
07/31/2024,471.07,44552130,467.87,472.79,466.41
07/30/2024,457.53,41317210,465.85,466.561,454.15
07/29/2024,463.90,28218480,465.71,467.91,461.615
07/26/2024,462.97,39992130,462.65,465.93,459.77
07/25/2024,458.27,59256760,463.72,467.94,455.63
07/24/2024,463.38,58818630,473.82,474.19,462.51
07/23/2024,480.62,23282450,481.41,484.43,480.14
07/22/2024,482.32,40300000,481.16,483.35,477.7068
07/19/2024,475.24,42042860,479.15,481.69,473.94
07/18/2024,479.49,49347360,485.53,485.71,476.27
07/17/2024,481.77,56268770,488.28,488.7984,481.70
07/16/2024,496.34,25950620,497.62,498.44,493.15
07/15/2024,496.15,31151390,496.61,501.01,494.09
07/12/2024,494.82,37109400,492.51,499.62,492.04
07/11/2024,491.93,49966590,503.07,503.28,490.725
07/10/2024,502.96,28046900,499.71,503.52,498.39
07/09/2024,497.77,25701250,498.87,500.00,496.24
07/08/2024,497.34,22109420,496.53,497.895,495.50
07/05/2024,496.16,28495940,491.89,496.60,491.59
07/03/2024,491.04,18064880,486.22,491.17,486.22
07/02/2024,486.98,26723560,480.41,487.04,480.28
07/01/2024,481.92,24898340,480.04,482.49,476.255
06/28/2024,479.11,34881580,482.41,487.20,478.46
06/27/2024,481.61,26222140,480.12,483.10,479.30
06/26/2024,480.37,22737110,478.55,480.92,478.13
06/25/2024,479.38,29250210,476.07,479.68,475.12
06/24/2024,473.96,37750970,478.18,479.93,473.82
06/21/2024,480.18,39432910,481.19,482.535,478.67
06/20/2024,481.47,33918680,486.42,486.8387,479.62
06/18/2024,485.21,24438570,485.01,485.90,483.43
06/17/2024,485.06,37054500,479.46,486.86,478.14
06/14/2024,479.19,23372620,476.52,479.26,476.05
06/13/2024,476.72,25859010,477.72,478.39,474.42
06/12/2024,474.15,34532590,471.99,476.50,471.29
06/11/2024,468.02,22053280,463.54,468.14,462.03
06/10/2024,464.83,20719770,461.82,465.19,461.53
06/07/2024,462.96,25829720,463.00,465.74,461.84
06/06/2024,463.37,21966820,464.22,464.54,462.19
06/05/2024,463.53,33817410,457.98,463.61,454.408
06/04/2024,454.37,23767440,452.87,455.575,451.1311
06/03/2024,453.13,32997470,454.57,455.58,447.90
05/31/2024,450.71,55941300,451.78,452.48,443.055
05/30/2024,451.55,30714120,455.50,455.64,450.21
05/29/2024,456.44,29739240,455.48,458.24,455.34
05/28/2024,459.68,26216820,459.18,459.74,456.69
05/24/2024,457.95,29669460,455.29,459.23,453.5674
05/23/2024,453.66,40899230,460.55,460.58,451.8503
05/22/2024,455.71,25120040,456.06,456.82,453.08
05/21/2024,455.80,23167720,453.04,455.99,452.84
05/20/2024,454.91,24474230,451.98,455.58,451.785
05/17/2024,451.76,35803720,452.11,452.72,449.5399
